Layer;Fix ID;Ch ID;Name;FixtureType;Patch;Color
"CODA PUB";;232;"PUB 1";"2 Dimmer 00 (2)";"1.038";ffffff
"CODA PUB";;233;"PUB 2";"2 Dimmer 00 (2)";"1.039";ffffff
"CODA PUB";;234;"PUB 3";"2 Dimmer 00 (2)";"1.044";ffffff
"CODA PUB";;235;"PUB 4";"2 Dimmer 00 (2)";"1.045";ffffff
