Layer;Fix ID;Ch ID;Name;FixtureType;Patch;Color
"BANHEIRA";;52;"BANHEIRA FRT";"2 Dimmer 00 (2)";"1.013";ffffff
"BANHEIRA";;53;"BANHEIRA PIC.";"2 Dimmer 00 (2)";"1.064";ffffff
"BANHEIRA";;54;"BANHEIRA CRT";"2 Dimmer 00 (2)";"1.151";ffffff
