Layer;Fix ID;Ch ID;Name;FixtureType;Patch;Color
"LEQUE PAREDES";;41;"PAREDE 1";"2 Dimmer 00 (2)";"1.090";ffffff
"LEQUE PAREDES";;42;"PAREDE 2";"2 Dimmer 00 (2)";"1.091";ffffff
"LEQUE PAREDES";;43;"PAREDE 3";"2 Dimmer 00 (2)";"1.089";ffffff
"LEQUE PAREDES";;44;"PAREDE 4";"2 Dimmer 00 (2)";"1.088";ffffff
"LEQUE PAREDES";;45;"PAREDE 5";"2 Dimmer 00 (2)";"1.087";ffffff
"LEQUE PAREDES";;46;"PAREDE 6";"2 Dimmer 00 (2)";"1.086";ffffff
"LEQUE PAREDES";;47;"PAREDE 7";"2 Dimmer 00 (2)";"1.085";ffffff
