Layer;Fix ID;Ch ID;Name;FixtureType;Patch;Color
"LATERAIS RED";;48;"RED 1";"2 Dimmer 00 (2)";"1.093";ffffff
"LATERAIS RED";;49;"RED 2";"2 Dimmer 00 (2)";"1.083";ffffff
"LATERAIS RED";;50;"RED 3";"2 Dimmer 00 (2)";"1.176";ffffff
"LATERAIS RED";;51;"RED 4";"2 Dimmer 00 (2)";"1.169";ffffff
