Layer;Fix ID;Ch ID;Name;FixtureType;Patch;Color
"BANCOS";;55;"BANCO FR L";"2 Dimmer 00 (2)";"1.145";ffffff
"BANCOS";;56;"BANCO CRT L";"2 Dimmer 00 (2)";"1.261";ffffff
"BANCOS";;57;"BANCO FR R";"2 Dimmer 00 (2)";"1.153";ffffff
"BANCOS";;58;"BANCO CRT R";"2 Dimmer 00 (2)";"1.255";ffffff
