Layer;Fix ID;Ch ID;Name;FixtureType;Patch;Color
"REV4";100;;"Revolution 1";"6 Revolution BM/SM Original Scroller 00 (6)";"2.271";ffffff
"REV4";101;;"Revolution 2";"6 Revolution BM/SM Original Scroller 00 (6)";"2.302";ffffff
"REV4";102;;"Revolution 3";"6 Revolution BM/SM Original Scroller 00 (6)";"2.333";ffffff
"REV4";103;;"Revolution 4";"6 Revolution BM/SM Original Scroller 00 (6)";"2.364";ffffff
"REV4";104;;"Revolution 5";"6 Revolution BM/SM Original Scroller 00 (6)";"2.395";ffffff
"REV4";105;;"Revolution 6";"6 Revolution BM/SM Original Scroller 00 (6)";"2.426";ffffff
