Layer;Fix ID;Ch ID;Name;FixtureType;Patch;Color
"PORTA";;63;"PORTA FR PICADO";"2 Dimmer 00 (2)";"1.100";ffffff
"PORTA";;64;"PORTA CRT";"2 Dimmer 00 (2)";"1.111";ffffff
"PORTA";;73;"PORTA RÉGIE";"2 Dimmer 00 (2)";"1.220";ffffff
