Layer;Fix ID;Ch ID;Name;FixtureType;Patch;Color
"MUSICOS";;65;"MUSICO FR";"2 Dimmer 00 (2)";"1.092";ffffff
"MUSICOS";;66;"PAUTAS CRT";"2 Dimmer 00 (2)";"1.142";ffffff
"MUSICOS";;67;"KEYS";"2 Dimmer 00 (2)";"1.070";ffffff
