Layer;Fix ID;Ch ID;Name;FixtureType;Patch;Color
"GUILHOTINA";;60;"GUILHO PIC.";"2 Dimmer 00 (2)";"1.110";ffffff
"GUILHOTINA";;61;"GUILHO CRT";"2 Dimmer 00 (2)";"1.134";ffffff
