Layer;Fix ID;Ch ID;Name;FixtureType;Patch;Color
"VENTOINHAS";;231;"FAN 1";"2 Dimmer 00 (2)";"1.231";ffffff
"VENTOINHAS";;241;"FAN 2";"2 Dimmer 00 (2)";"1.206";ffffff
