CueNumber;ChannelID;FixtureID;AttributeName;Value;betweenCuesTime;FixtureType;MaxPower;Layer;Name;PowerUsed;Energy_J;Energy_Wh
4;;104;DIM;0;56;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
4;;105;DIM;20;56;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;74.5098039216;4172.5490196078;1.1590413943
4;;110;DIM;0;56;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
4;;111;DIM;0;56;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
4;;112;DIM;0;56;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
4;;113;DIM;0;56;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
4;;114;DIM;0;56;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
4;;115;DIM;0;56;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
5;;100;DIM;11;116;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;40.9803921569;4753.7254901961;1.3204793028
5;;101;DIM;0;116;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
5;;102;DIM;0;116;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
5;;103;DIM;0;116;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
5;;104;DIM;0;116;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
5;;105;DIM;11;116;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;40.9803921569;4753.7254901961;1.3204793028
5;;110;DIM;0;116;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
5;;111;DIM;0;116;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
5;;112;DIM;0;116;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
5;;113;DIM;0;116;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
5;;114;DIM;0;116;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
5;;115;DIM;0;116;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
7;;104;DIM;16;289;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;59.6078431373;17226.6666666667;4.7851851852
8;;100;DIM;17;390;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;63.3333333333;24700.0;6.8611111111
9;;101;DIM;14;88;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;52.1568627451;4589.8039215686;1.2749455338
10;;100;DIM;11;238;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;40.9803921569;9753.3333333333;2.7092592593
10;;101;DIM;0;238;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
10;;104;DIM;10;238;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;37.2549019608;8866.6666666667;2.462962963
11;;104;DIM;0;278;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
12;;100;DIM;11;159;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;40.9803921569;6515.8823529412;1.8099673203
12;;101;DIM;0;159;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
12;;102;DIM;0;159;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
12;;103;DIM;0;159;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
12;;104;DIM;0;159;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
12;;105;DIM;11;159;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;40.9803921569;6515.8823529412;1.8099673203
12;;110;DIM;0;159;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
12;;111;DIM;0;159;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
12;;112;DIM;0;159;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
12;;113;DIM;0;159;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
12;;114;DIM;0;159;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
12;;115;DIM;0;159;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
13;;101;DIM;11.5;354;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;42.8431372549;15166.4705882353;4.2129084967
14;;101;DIM;0;202;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
15;;100;DIM;11;223;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;40.9803921569;9138.6274509804;2.5385076253
15;;101;DIM;0;223;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
15;;102;DIM;0;223;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
15;;103;DIM;0;223;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
15;;104;DIM;0;223;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
15;;105;DIM;11;223;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;40.9803921569;9138.6274509804;2.5385076253
15;;110;DIM;0;223;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
15;;111;DIM;0;223;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
15;;112;DIM;0;223;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
15;;113;DIM;0;223;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
15;;114;DIM;0;223;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
15;;115;DIM;0;223;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
16;;100;DIM;8;91;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;29.8039215686;2712.1568627451;0.7533769063
16;;101;DIM;0;91;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
16;;102;DIM;6;91;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;22.3529411765;2034.1176470588;0.5650326797
16;;103;DIM;0;91;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
16;;104;DIM;0;91;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
16;;105;DIM;11;91;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;40.9803921569;3729.2156862745;1.0358932462
16;;110;DIM;0;91;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
16;;111;DIM;0;91;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
16;;112;DIM;0;91;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
16;;113;DIM;15;91;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;38.2352941176;3479.4117647059;0.966503268
16;;114;DIM;0;91;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
16;;115;DIM;0;91;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
17;;101;DIM;13.5;108;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;50.2941176471;5431.7647058824;1.5088235294
18;;101;DIM;0;84;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
19;;100;DIM;8;359;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;29.8039215686;10699.6078431373;2.9721132898
19;;101;DIM;0;359;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
19;;102;DIM;0;359;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
19;;103;DIM;0;359;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
19;;104;DIM;20;359;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;74.5098039216;26749.0196078431;7.4302832244
19;;105;DIM;11;359;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;40.9803921569;14711.9607843137;4.0866557734
19;;110;DIM;0;359;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
19;;111;DIM;0;359;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
19;;112;DIM;0;359;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
19;;113;DIM;0;359;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
19;;114;DIM;0;359;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
19;;115;DIM;0;359;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
20;;100;DIM;15.5;375;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;57.7450980392;21654.4117647059;6.0151143791
20;;104;DIM;0;375;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
21;;100;DIM;8;219;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;29.8039215686;6527.0588235294;1.8130718954
21;;101;DIM;0;219;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
21;;102;DIM;6;219;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;22.3529411765;4895.2941176471;1.3598039216
21;;103;DIM;0;219;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
21;;104;DIM;0;219;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
21;;105;DIM;11;219;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;40.9803921569;8974.7058823529;2.4929738562
21;;110;DIM;0;219;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
21;;111;DIM;0;219;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
21;;112;DIM;0;219;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
21;;113;DIM;20;219;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;50.9803921569;11164.7058823529;3.1013071895
21;;114;DIM;0;219;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
21;;115;DIM;0;219;8 autoyoke_jj (8)                   ;650;AUTOYO;autoyok;0.0;0.0;0.0
22;;101;DIM;16;128;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;59.6078431373;7629.8039215686;2.1193899782
23;;101;DIM;0;36;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
24;;100;DIM;8;231;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;29.8039215686;6884.7058823529;1.9124183007
24;;101;DIM;0;231;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;0.0;0.0;0.0
24;;102;DIM;6;231;6 Revolution BM/SM Original Scroller;950;REV4  ;Revolut;22.3529411765;5163.5294117647;1.4343137255
