CueNumber;ChannelID;FixtureID;AttributeName;Value;betweenCuesTime;FixtureType;MaxPower;Layer;Name;PowerUsed;Energy_J;Energy_Wh
4;;100;DIM;11;235;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 1;40.98;9630.39;2.68
4;;101;DIM;0;235;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 2;0;0;0
4;;102;DIM;0;235;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 3;0;0;0
4;;103;DIM;0;235;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 4;0;0;0
4;;104;DIM;0;235;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 5;0;0;0
4;;105;DIM;20;235;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 6;74.51;17509.8;4.86
4;;110;DIM;0;235;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 1;0;0;0
4;;111;DIM;0;235;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 2;0;0;0
4;;112;DIM;0;235;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 3;0;0;0
4;;113;DIM;0;235;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 4;0;0;0
4;;114;DIM;0;235;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 5;0;0;0
4;;115;DIM;0;235;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 6;0;0;0
5;;100;DIM;11;56;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 1;40.98;2294.9;0.64
5;;101;DIM;0;56;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 2;0;0;0
5;;102;DIM;0;56;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 3;0;0;0
5;;103;DIM;0;56;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 4;0;0;0
5;;104;DIM;0;56;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 5;0;0;0
5;;105;DIM;11;56;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 6;40.98;2294.9;0.64
5;;110;DIM;0;56;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 1;0;0;0
5;;111;DIM;0;56;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 2;0;0;0
5;;112;DIM;0;56;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 3;0;0;0
5;;113;DIM;0;56;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 4;0;0;0
5;;114;DIM;0;56;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 5;0;0;0
5;;115;DIM;0;56;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 6;0;0;0
7;;104;DIM;16;80;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 5;59.61;4768.63;1.32
8;;100;DIM;17;108;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 1;63.33;6840;1.9
9;;101;DIM;14;414;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 2;52.16;21592.94;6
10;;100;DIM;11;21;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 1;40.98;860.59;0.24
10;;101;DIM;0;21;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 2;0;0;0
10;;104;DIM;10;21;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 5;37.25;782.35;0.22
11;;104;DIM;0;91;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 5;0;0;0
12;;100;DIM;11;238;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 1;40.98;9753.33;2.71
12;;101;DIM;0;238;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 2;0;0;0
12;;102;DIM;0;238;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 3;0;0;0
12;;103;DIM;0;238;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 4;0;0;0
12;;104;DIM;0;238;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 5;0;0;0
12;;105;DIM;11;238;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 6;40.98;9753.33;2.71
12;;110;DIM;0;238;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 1;0;0;0
12;;111;DIM;0;238;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 2;0;0;0
12;;112;DIM;0;238;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 3;0;0;0
12;;113;DIM;0;238;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 4;0;0;0
12;;114;DIM;0;238;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 5;0;0;0
12;;115;DIM;0;238;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 6;0;0;0
13;;101;DIM;11.5;42;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 2;42.84;1799.41;0.5
14;;101;DIM;0;237;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 2;0;0;0
15;;100;DIM;11;409;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 1;40.98;16760.98;4.66
15;;101;DIM;0;409;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 2;0;0;0
15;;102;DIM;0;409;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 3;0;0;0
15;;103;DIM;0;409;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 4;0;0;0
15;;104;DIM;0;409;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 5;0;0;0
15;;105;DIM;11;409;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 6;40.98;16760.98;4.66
15;;110;DIM;0;409;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 1;0;0;0
15;;111;DIM;0;409;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 2;0;0;0
15;;112;DIM;0;409;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 3;0;0;0
15;;113;DIM;0;409;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 4;0;0;0
15;;114;DIM;0;409;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 5;0;0;0
15;;115;DIM;0;409;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 6;0;0;0
16;;100;DIM;8;217;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 1;29.8;6467.45;1.8
16;;101;DIM;0;217;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 2;0;0;0
16;;102;DIM;6;217;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 3;22.35;4850.59;1.35
16;;103;DIM;0;217;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 4;0;0;0
16;;104;DIM;0;217;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 5;0;0;0
16;;105;DIM;11;217;6 Revolution BM/SM Original Scroller;950;REV4;Revolution 6;40.98;8892.75;2.47
16;;110;DIM;0;217;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 1;0;0;0
16;;111;DIM;0;217;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 2;0;0;0
16;;112;DIM;0;217;8 autoyoke_jj (8)                   ;650;AUTOYOKE;autoyoke 3;0;0;0
